T,R,T1,T2
19.8,0,19.2,22.2
19.2,591.6320283,19.2,22.2
21,853.0556781,20.4,22.9
21.6,984.6333297,22.2,24.3
23.6,1058.484386,24.3,25.8
24.3,1100.663803,26.6,28.3
23.6,1122.311977,28.3,30.1
24.3,1128.208918,32.1,33.2
19.2,1119.552883,28.3,33.2
20.4,1094.569951,27.4,32.1
21,1047.599029,26.6,31.1
20.4,965.6637171,25.8,31.1
20.4,817.7987513,25,30.1
20.4,513.9005136,24.3,29.2
19.8,0,23.6,28.3
19.2,0,22.9,27.4
17.6,0,21.6,26.6
17.6,0,21,25
17.6,0,19.8,24.3
17.1,0,19.2,22.9
17.1,0,19.2,22.2
17.1,0,18.7,22.2
16.6,0,18.1,21.6
16.6,0,18.1,21.6
16.2,0,17.6,21
16.2,592.8695911,17.6,21
16.2,853.0172568,17.1,20.4
16.6,984.2203307,17.6,21
17.1,1057.939185,18.1,21
17.6,1100.068256,19.8,22.2
19.8,1121.697697,21,22.9
21,1127.590372,22.9,25
22.2,1118.940722,24.3,26.6
19.2,1093.980546,23.6,27.4
19.2,1047.069791,23.6,27.4
19.8,965.2937275,25,28.3
19.2,817.8910255,24.3,28.3
18.7,515.6544108,23.6,27.4
18.1,0,22.2,26.6
18.1,0,21,25.8
18.1,0,20.4,25
18.7,0,19.8,24.3
18.7,0,19.8,23.6
18.1,0,19.2,22.9
17.1,0,18.7,22.2
17.6,0,18.7,22.2
17.6,0,18.1,21.6
17.6,0,18.1,21.6
17.6,0,17.6,21
18.1,594.0288636,17.6,21
19.2,852.9644298,18.1,21
20.4,983.8113971,19.2,21.6
18.7,1057.404789,19.8,22.2
19.8,1099.486256,20.4,22.9
23.6,1121.098069,22.9,24.3
23.6,1126.986743,27.4,27.4
22.9,1118.343085,27.4,29.2
21.6,1093.404342,26.6,30.1
18.7,1046.550521,24.3,28.3
18.7,964.9256612,22.2,26.6
18.7,817.9624625,21,25
18.1,517.3034117,20.4,23.6
18.1,0,19.8,22.9
18.1,0,19.2,22.2
18.1,0,18.7,22.2
18.1,0,18.7,21.6
18.1,0,18.7,21.6
18.1,0,18.7,21.6
18.1,0,18.7,21.6
18.1,0,18.1,21.6
18.1,0,18.1,21
17.6,0,18.1,21
17.6,0,18.1,21
17.6,595.111196,18.1,21
18.1,852.8976863,18.7,21
19.8,983.4069097,19.8,22.2
19.8,1056.881564,21,23.6
19.2,1098.918167,22.2,25
19.2,1120.513455,22.9,25
22.2,1126.398393,25,27.4
21,1117.760331,25.8,29.2
23.6,1092.8417,25,29.2
25,1046.041587,26.6,30.1
27.4,964.5599073,29.2,31.1
27.4,818.0136077,31.1,33.2
22.2,518.8493773,30.1,33.2
20.4,0,27.4,32.1
19.8,0,25.8,30.1
19.8,0,23.6,28.3
19.2,0,22.2,26.6
18.7,0,21,25
18.7,0,19.8,24.3
18.1,0,19.2,23.6
17.6,0,18.7,22.2
18.1,0,18.1,21.6
18.1,0,17.6,21.6
17.6,0,17.6,21
18.1,596.1178685,17.6,21
21,852.8174949,20.4,21.6
25.8,983.0072355,25,24.3
25.8,1056.369862,30.1,29.2
23.6,1098.364337,31.1,32.1
23.6,1119.944203,31.1,33.2
23.6,1125.82567,31.1,34.4
23.6,1117.19281,31.1,34.4
24.3,1092.292971,32.1,34.4
22.9,1045.543342,31.1,35.6
22.2,964.1968401,29.2,34.4
20.4,818.0449828,26.6,32.1
21,520.2940686,24.3,30.1
19.8,0,22.9,28.3
19.8,0,22.2,26.6
18.7,0,21,25.8
19.2,0,20.4,24.3
19.2,0,19.8,23.6
19.2,0,19.8,23.6
19.8,0,19.2,22.9
19.2,0,19.2,22.9
18.7,0,19.2,22.2
18.7,0,19.2,22.2
18.1,0,18.7,22.2
18.1,597.0500925,18.7,21.6
18.1,852.7243038,18.7,22.2
18.1,982.612727,19.2,22.2
17.6,1055.870022,19.2,22.2
17.6,1097.825105,19.8,22.2
18.7,1119.390651,21.6,23.6
18.7,1125.268913,22.2,25
20.4,1116.64086,23.6,26.6
21,1091.758493,22.9,26.6
22.9,1045.056126,24.3,27.4
26.6,963.836819,28.3,29.2
28.3,818.0570858,31.1,32.1
22.2,521.6391483,29.2,33.2
21,0,26.6,31.1
19.8,0,24.3,29.2
19.2,0,22.2,27.4
18.7,0,21.6,25.8
19.2,0,20.4,25
18.7,0,19.8,23.6
18.7,0,19.2,22.9
18.7,0,18.7,22.2
18.7,0,18.7,22.2
18.7,0,18.1,21.6
18.7,0,18.1,21.6
18.7,597.9090123,18.7,21.6
20.4,852.6185403,19.8,22.2
22.9,982.2237223,22.2,23.6
25.8,1055.382371,27.4,26.6
27.4,1097.300795,34.4,31.1
28.3,1118.853123,43.2,38.3
27.4,1124.728445,47.1,43.2
30.1,1116.104805,51.9,49.4
28.3,1091.23859,51.9,51.9
30.1,1044.580265,51.9,51.9
29.2,963.4801883,51.9,51.9
28.3,818.0503909,47.1,49.4
27.4,522.8861837,41.4,47.1
25,0,36.9,43.2
23.6,0,33.2,39.8
22.9,0,30.1,36.9
22.2,0,27.4,33.2
21.6,0,25,31.1
21,0,23.6,29.2
21,0,22.2,27.4
21,0,21.6,25.8
21.6,0,21,25
20.4,0,20.4,24.3
20.4,0,19.8,23.6
21.6,598.6957058,20.4,22.9
24.3,852.500611,22.9,24.3
26.6,981.8405445,28.3,26.6
30.1,1054.907219,34.4,31.1
31.1,1096.791717,41.4,36.9
30.1,1118.331929,47.1,43.2
28.3,1124.204576,51.9,47.1
31.1,1115.584955,54.8,51.9
30.1,1090.733572,58,54.8
32.1,1044.116073,54.8,54.8
32.1,963.1272773,54.8,54.8
31.1,818.0253486,49.4,51.9
30.1,524.0366485,45.1,49.4
26.6,0,39.8,45.1
25,0,35.6,41.4
24.3,0,32.1,38.3
24.3,0,29.2,34.4
22.9,0,26.6,32.1
22.9,0,25,30.1
22.9,0,24.3,29.2
22.2,0,22.9,27.4
21.6,0,22.2,26.6
21,0,21.6,25
22.2,0,21,25
22.9,599.4111858,21.6,24.3
25,852.3709013,24.3,25
28.3,981.4635018,29.2,27.4
31.1,1054.444867,35.6,32.1
29.2,1096.298171,41.4,36.9
30.1,1117.827368,47.1,43.2
30.1,1123.697605,51.9,49.4
33.2,1115.081608,54.8,51.9
31.1,1090.243739,58,54.8
31.1,1043.663849,54.8,54.8
30.1,962.7783993,51.9,54.8
31.1,817.9823855,49.4,51.9
29.2,525.0919244,43.2,47.1
27.4,0,39.8,45.1
25.8,0,35.6,41.4
25,0,32.1,38.3
25,0,29.2,35.6
24.3,0,27.4,33.2
23.6,0,25.8,31.1
23.6,0,24.3,29.2
23.6,0,23.6,28.3
24.3,0,23.6,27.4
23.6,0,22.9,26.6
23.6,0,22.2,25.8
24.3,600.0564009,22.9,25.8
26.6,852.2297758,25.8,26.6
27.4,981.092887,30.1,29.2
25.8,1053.995598,32.1,32.1
27.4,1095.820439,36.9,35.6
24.3,1117.339723,35.6,38.3
22.9,1123.207815,33.2,36.9
21.6,1114.595049,31.1,35.6
21.6,1089.769373,29.2,33.2
20.4,1043.223876,25.8,30.1
19.8,962.4338524,24.3,29.2
19.2,817.9219042,22.9,27.4
18.7,526.0533034,22.2,26.6
18.1,0,21,25
18.1,0,20.4,24.3
18.1,0,19.8,23.6
17.6,0,19.8,22.9
17.1,0,18.7,22.2
16.6,0,18.1,21.6
16.6,0,18.1,21
17.1,0,17.6,21
17.1,0,17.6,20.4
16.6,0,16.6,20.4
16.2,0,16.6,19.8
16.6,600.6322364,16.6,19.2
23.6,852.0775782,18.1,20.4
25,980.7289776,24.3,22.9
22.2,1053.559681,29.2,27.4
25,1095.358791,35.6,32.1
25.8,1116.869265,43.2,38.3
25,1122.735477,47.1,43.2
26.6,1114.125547,49.4,47.1
25.8,1089.310745,51.9,49.4
28.3,1042.796427,51.9,51.9
28.3,962.0939183,49.4,51.9
27.4,817.8442836,47.1,49.4
25.8,526.9219893,41.4,45.1
23.6,0,35.6,39.8
22.2,0,32.1,36.9
21.6,0,29.2,34.4
21.6,0,26.6,32.1
21.6,0,25,30.1
21.6,0,24.3,29.2
21,0,22.9,27.4
21,0,22.2,25.8
20.4,0,21.6,25
20.4,0,21,25
21,0,21,24.3
21,601.1395152,21,24.3
21.6,851.9146305,21.6,24.3
22.2,980.3720356,22.2,25
23.6,1053.137373,24.3,25.8
27.4,1094.913482,26.6,27.4
30.1,1116.416249,34.4,32.1
29.2,1122.280846,39.8,36.9
30.1,1113.673358,45.1,43.2
29.2,1088.868109,49.4,47.1
31.1,1042.381756,49.4,49.4
32.1,961.7588631,51.9,51.9
30.1,817.7498786,49.4,51.9
28.3,527.6990989,43.2,49.4
25.8,0,38.3,45.1
24.3,0,35.6,41.4
24.3,0,32.1,38.3
23.6,0,29.2,35.6
23.6,0,27.4,33.2
23.6,0,26.6,31.1
24.3,0,25.8,30.1
23.6,0,25,29.2
23.6,0,24.3,28.3
23.6,0,23.6,27.4
23.6,0,23.6,27.4
23.6,601.5789986,23.6,26.6
24.3,851.741234,24.3,27.4
25,980.0223067,25,27.4
25,1052.728914,25,27.4
25.8,1094.484755,25.8,28.3
24.3,1115.980917,25.8,28.3
21.6,1121.844164,25.8,28.3
19.8,1113.238723,25,28.3
20.4,1088.441707,23.6,27.4
20.4,1041.980103,22.9,26.6
20.4,961.4289364,22.9,25.8
20.4,817.6390202,22.2,25.8
19.8,528.385664,21.6,25
19.8,0,21,24.3
19.2,0,21,24.3
18.1,0,20.4,23.6
18.1,0,19.8,22.9
18.1,0,19.2,22.9
18.1,0,19.2,22.2
18.1,0,19.2,22.2
18.1,0,18.7,22.2
18.1,0,18.7,21.6
18.1,0,18.7,21.6
18.1,0,18.7,21.6
18.1,601.951387,18.7,21.6
18.1,851.5576684,19.2,21.6
18.7,979.6800212,19.8,22.2
19.2,1052.334529,20.4,22.9
18.7,1094.072833,21,23.6
19.2,1115.563494,22.2,24.3
21,1121.425657,23.6,25.8
22.2,1112.821869,25,26.6
22.2,1088.031764,26.6,29.2
20.4,1041.591695,24.3,28.3
21.6,961.1043713,23.6,28.3
21,817.5120154,23.6,28.3
21,528.9826321,23.6,27.4
20.4,0,22.9,27.4
20.4,0,22.2,26.6
20.4,0,21.6,25.8
21,0,21,25
20.4,0,21,24.3
19.8,0,21,24.3
19.2,0,20.4,24.3
19.2,0,19.8,23.6
18.7,0,19.8,22.9
19.2,0,19.2,22.9
19.2,0,19.2,22.2
19.2,602.2573206,19.2,22.2
19.8,851.3641921,19.2,22.2
22.2,979.3453929,21,22.9
22.2,1051.954428,22.9,24.3
21.6,1093.677929,23.6,25.8
22.9,1115.164193,25,27.4
24.3,1121.025537,25.8,28.3
25,1112.423007,29.2,30.1
25.8,1087.638491,29.2,32.1
22.2,1041.216741,29.2,32.1
22.2,960.7853846,28.3,32.1
24.3,817.3691473,28.3,32.1
23.6,529.490868,28.3,32.1
21.6,0,26.6,31.1
21,0,25,30.1
21,0,24.3,29.2
21,0,22.9,27.4
21,0,22.2,26.6
20.4,0,21.6,25.8
21,0,21.6,25
20.4,0,21,24.3
20.4,0,21,24.3
